No,1,2,3,4,Learning Level
1,16,24,28,32,ADVANCE
2,8,16,22,24,BASIC
3,0,12,20,20,BASIC
4,8,15,28,24,BASIC
5,16,2,22,24,BASIC
6,8,17,22,24,BASIC
7,16,13,28,24,INTERMEDIATE
8,16,16,22,24,ELEMENTARY
9,11,15,28,24,ELEMENTARY
10,8,20,22,24,ELEMENTARY
11,16,24,28,32,ADVANCE
12,8,16,22,24,ELEMENTARY
13,0,12,20,20,BASIC
14,5,15,28,24,ELEMENTARY
15,16,16,22,24,ELEMENTARY
16,8,17,22,24,ELEMENTARY
17,16,13,28,24,INTERMEDIATE
18,16,16,22,24,ELEMENTARY
19,16,24,28,32,ADVANCE
20,4,20,22,24,BASIC
21,16,24,28,32,ADVANCE
22,8,16,22,24,ELEMENTARY
23,0,12,20,20,BASIC
24,4,15,28,24,ELEMENTARY
25,16,24,28,32,ADVANCE
26,7,17,22,24,ELEMENTARY
27,16,13,28,24,INTERMEDIATE
28,16,16,22,24,ELEMENTARY
29,11,15,28,24,ELEMENTARY
30,8,20,22,24,ELEMENTARY
31,16,24,28,32,ADVANCE
32,8,16,22,24,ELEMENTARY
33,0,12,20,20,BASIC
34,8,15,28,24,BASIC
35,16,9,22,24,BASIC
36,8,17,22,24,ELEMENTARY
37,16,13,28,24,INTERMEDIATE
38,16,16,22,24,ELEMENTARY
39,11,15,28,24,ELEMENTARY
40,8,20,22,24,ELEMENTARY
41,11,15,28,24,ELEMENTARY
42,8,20,22,24,ELEMENTARY
43,16,24,28,32,ADVANCE
44,8,16,22,24,ELEMENTARY
45,0,12,20,20,BASIC
46,7,15,28,24,BASIC
47,16,16,22,24,ELEMENTARY
48,8,17,22,24,ELEMENTARY
49,16,13,28,24,INTERMEDIATE
50,16,16,22,24,ELEMENTARY